,Brand,Model,Accel,TopSpeed,Range,Efficiency,FastCharge,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro
90,Audi ,e-tron S 55 quattro,4.5,210,320,270,510.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,104118.00000000001
91,Smart ,EQ fortwo cabrio,11.9,130,95,176,,Rapid charging not possible,Rear Wheel Drive,Type 2,Cabrio,A,2,27267.15
92,Kia ,e-Soul 64 kWh,7.9,167,365,175,320.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,40889.07000000001
93,Nissan ,Ariya e-4ORCE 87kWh,5.7,200,420,207,500.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,63825.00000000001
94,Fiat ,500e Convertible,9.0,150,250,168,330.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Cabrio,B,4,42069.00000000001
95,Volkswagen ,ID.3 Pro Performance,7.3,160,340,171,470.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,39488.25
96,Kia ,e-Soul 39 kWh,9.9,157,230,170,220.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,36777.630000000005
97,Byton ,M-Byte 72 kWh 2WD,7.5,190,325,222,420.0,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,E,5,59385.00000000001
98,Nissan ,Ariya 63kWh,7.5,160,330,191,440.0,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,49950.00000000001
99,Audi ,e-tron S Sportback 55 quattro,4.5,210,335,258,540.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,106615.50000000001
100,Nissan ,Ariya e-4ORCE 63kWh,5.9,200,325,194,440.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,55500.00000000001
101,Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,200,375,232,450.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,72150.0
102,Byton ,M-Byte 95 kWh 2WD,7.5,190,400,238,480.0,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,68820.0
